customer_id,customer_name,email,registration_date,customer_type,region_code
C0073,Sarah Ashley,wwoods@example.com,2023-11-26,REGULAR,WEST
C0074,Stephanie Freeman,vmedina@example.net,2024-01-21,REGULAR,CENTRAL
C0075,Rebecca Ramsey,ryan06@example.com,2024-12-25,REGULAR,EAST
C0076,James Elliott,ncalhoun@example.net,2024-11-12,PREMIUM,EAST
C0077,David Murphy,millerroy@example.com,2025-03-11,VIP,CENTRAL
C0078,Trevor Fisher,wmurphyexample.com,2025-03-05,VIP,NORTH
C0079,Mrs. Marie Harrington DDS,ruizkaitlyn@example.org,2024-04-01,PREMIUM,NORTH
C0080,Cynthia Wells,herringjames@example.org,2024-05-14,PREMIUM,EAST
C0081,Jacob Obrien,elliottjeffery@example.net,2025-06-02,REGULAR,EAST
C0082,Alexander Collins,stricklandfrank@example.com,2024-11-26,REGULAR,NORTH
C0083,Michael Burton,tsanders@example.org,2025-01-17,REGULAR,NORTH
C0084,Barbara Riggs,terrykevin@example.net,2024-03-24,VIP,EAST
C0085,Matthew Smith,reedross@example.com,2025-12-21,VIP,WEST
C0086,Madison Poole,gshort@example.com,2024-02-15,REGULAR,SOUTH
C0087,Robert Medina,ryangross@example.net,2025-07-26,VIP,CENTRAL
C0088,Samuel Rivas,umarshall@example.net,2024-03-18,REGULAR,EAST
C0089,Mary Rogers,ramirezshannon@example.com,2023-09-20,PREMIUM,SOUTH
C0090,Robert Peterson,lrosales@example.com,2024-01-27,PREMIUM,CENTRAL
C0091,Jason Peters,angela83@example.org,2025-10-10,VIP,SOUTH
C0092,Alan Phillips,hannahbrewer@example.com,2024-10-27,REGULAR,SOUTH
C0093,Kara Schmidt,tholt@example.net,2023-08-20,REGULAR,EAST
C0094,Jesse Parker,jbarajas@example.com,2025-10-21,VIP,SOUTH
C0095,Tiffany Vaughn,davidlee@example.org,2024-02-07,PREMIUM,NORTH
C0096,Paige Carlson,javierwashington@example.net,2024-09-28,REGULAR,WEST
C0097,Adrian Ferguson,wallkenneth@example.com,2024-10-09,REGULAR,NORTH
C0098,Beth Oneill,brandon08@example.com,2025-09-24,PREMIUM,EAST
C0099,John Peterson,agarcia@example.net,2025-01-22,PREMIUM,CENTRAL
C0100,Jennifer Jones,kingmichelle@example.org,2025-05-09,REGULAR,NORTH
C0101,David Grant,hernandezlisa@example.com,2024-12-16,REGULAR,CENTRAL
C0102,Joseph Hayes,yobrien@example.net,2024-12-25,REGULAR,NORTH
C0103,Marc Lynch,levans@example.com,2025-06-07,VIP,EAST
C0104,Brad Allen,mezajared@example.org,2026-05-13,REGULAR,WEST
C0105,Doris Hall,moorericky@example.net,2024-07-24,PREMIUM,NORTH
C0106,Dennis Moody,jacqueline71@example.net,2023-07-04,VIP,CENTRAL
C0107,Derek Thomas,ronaldstephens@example.net,2024-08-07,PREMIUM,WEST
C0108,Tammy Gonzales,martinkyle@example.net,2025-05-07,VIP,EAST
C0109,Kathryn Snyder,sbarker@example.com,2024-03-12,VIP,EAST
C0110,David Davis,georgepamela@example.net,2025-10-14,PREMIUM,WEST
C0111,Pamela Thompson,keyemily@example.com,2024-03-17,REGULAR,WEST
C0112,Robert Costa,lmoon@example.net,2025-08-15,VIP,SOUTH
C0113,Shannon Rivera,vbailey@example.com,2025-03-08,PREMIUM,CENTRAL
C0114,Brandon King,zroberts@example.net,2025-03-14,PREMIUM,SOUTH
C0115,April Booth,cordovarichard@example.net,2025-04-20,PREMIUM,WEST
C0116,Peter Garrett,mgutierrez@example.net,2024-09-10,VIP,WEST
C0117,Michael Martinez,harrisandrea@example.com,2024-06-12,VIP,NORTH
C0118,Anna Gay,jennifercollins@example.org,2025-05-17,REGULAR,SOUTH
C0119,Dr. Jordan Hill PhD,murraydavid@example.org,2024-10-03,REGULAR,SOUTH
C0120,Thomas Romero,jsanchez@example.org,2024-11-13,PREMIUM,CENTRAL
C0121,Richard Adams,michellehill@example.com,2023-11-27,PREMIUM,WEST
C0122,Mary Grimes,campbellkenneth@example.net,2024-08-02,VIP,WEST
C0123,Kimberly Gibson,wryan@example.com,2024-11-11,REGULAR,NORTH
C0124,Reginald Williams,molly39@example.com,2024-02-04,PREMIUM,SOUTH
C0125,Matthew Hoover,zthornton@example.com,2026-05-26,PREMIUM,NORTH
C0126,Evelyn Garcia,tylerjohnson@example.net,2024-03-05,PREMIUM,SOUTH
C0127,Jennifer Pena,dgarcia@example.org,2026-06-22,VIP,CENTRAL
C0128,Michael Santos,charlesharrington@example.com,2025-12-23,VIP,CENTRAL
C0129,Stacy Freeman,melissa86@example.com,2025-12-30,REGULAR,WEST
C0130,Yolanda Francis,williamsonjimmy@example.net,2024-11-18,VIP,EAST
C0131,Ashlee Jackson,wgood@example.net,2026-06-02,PREMIUM,SOUTH
C0132,James Thomas,rebecca05@example.org,2023-12-06,VIP,EAST
C0133,Bob Pitts,yknight@example.org,2025-05-18,PREMIUM,CENTRAL
C0134,David Scott,tyleraguilar@example.org,2024-05-04,REGULAR,WEST
C0135,Brooke Alexander,nolansteven@example.com,2024-09-11,REGULAR,WEST
C0136,Ryan Gonzalez,vanessa46@example.net,2026-02-09,PREMIUM,NORTH
C0137,Ian Phillips,gcastaneda@example.org,2025-11-07,PREMIUM,CENTRAL
C0138,Melissa Garner,andrew64@example.org,2023-08-10,VIP,WEST
C0139,Crystal Pham,lozanojulie@example.com,2025-06-20,PREMIUM,WEST
C0140,Patricia Becker,danaoliver@example.net,2025-11-05,VIP,CENTRAL
C0141,Richard Johnson,courtneyberger@example.net,2024-09-24,PREMIUM,SOUTH
C0142,Casey Anderson,jessica14@example.com,2026-03-21,REGULAR,WEST
C0143,Terry Coffey,alyssa42@example.com,2025-10-06,VIP,SOUTH
C0144,Brenda Levy,julie51@example.com,2024-03-18,VIP,CENTRAL
C0145,Richard Smith,zcoffey@example.net,2025-09-14,VIP,CENTRAL
C0146,James Little,gibsonemily@example.net,2023-12-19,VIP,WEST
C0147,Terri Murphy,daniel37@example.org,2026-01-31,REGULAR,NORTH
C0148,Elizabeth Ortiz,deborahreid@example.com,2025-05-01,REGULAR,WEST
C0149,David Medina,brandonjohnson@example.com,2025-08-15,PREMIUM,WEST
C0150,Kimberly Matthews,qchavez@example.net,2023-12-15,PREMIUM,NORTH
C0151,Teresa Ramirez,nicolepena@example.com,2023-10-15,PREMIUM,SOUTH
C0152,Michael Stephens,jeff73@example.com,2023-09-21,REGULAR,SOUTH
C0153,Samantha Davis,bruce43@example.org,2023-08-11,VIP,SOUTH
C0154,Gavin Zhang,darleneharper@example.org,2026-02-24,VIP,NORTH
C0155,Robin Hall,caseyhubbard@example.org,2024-09-19,PREMIUM,EAST
C0156,Brianna Anderson,kristinacarlson@example.com,2024-06-08,VIP,CENTRAL
C0157,Richard Young,lauren10@example.org,2024-02-20,REGULAR,EAST
C0158,Kelly Reese,alfred40@example.org,2023-08-22,PREMIUM,CENTRAL
C0159,Jodi Walker,xwest@example.net,2025-08-07,PREMIUM,SOUTH
C0160,Judith Maynard,acostaregina@example.net,2024-11-09,REGULAR,EAST
C0161,Katherine Browning,lutzmelanie@example.com,2024-03-04,VIP,NORTH
C0162,Donald Schultz,lammarc@example.org,2025-11-24,VIP,EAST
C0163,Larry Garcia,oscar98@example.com,2025-05-29,REGULAR,WEST
C0164,Cindy Hayes,farrelldebra@example.net,2024-02-02,PREMIUM,EAST
C0165,Brandon Simmons,robertwilcox@example.com,2026-01-27,VIP,SOUTH
C0166,Bradley Reynolds,nicholas27@example.org,2026-06-03,VIP,EAST
C0167,Kristina Santiago,lisa80@example.net,2026-03-17,PREMIUM,WEST
C0168,Michelle Schmitt,qgomez@example.com,2024-12-31,PREMIUM,SOUTH
C0169,John Boone,michael98@example.org,2023-12-25,PREMIUM,WEST
C0170,Renee Bruce,megan51@example.com,2026-02-06,VIP,CENTRAL
C0171,Christopher Park,lynchdiane@example.net,2025-05-19,REGULAR,WEST
C0172,Kylie Morales,sandra50@example.org,2024-07-07,PREMIUM,SOUTH
C0173,Cindy Barnes,joycebonilla@example.org,2024-12-11,PREMIUM,EAST
C0174,Sophia Moore,eric45@example.net,2025-01-16,VIP,NORTH
C0175,Lawrence Perry,craigjoseph@example.net,2024-07-26,REGULAR,SOUTH
C0176,Michael Watkins,kariwilson@example.com,2026-03-27,VIP,SOUTH
C0177,Eric Clark,brandon69@example.org,2026-04-01,PREMIUM,NORTH
C0178,Paul Thompson,kathrynroberts@example.org,2024-09-26,PREMIUM,SOUTH
C0179,Mary Gomez,opatel@example.net,2025-07-25,PREMIUM,CENTRAL
C0180,Thomas Atkins,chensley@example.com,2025-11-18,VIP,CENTRAL
C0181,Brian Smith,tberry@example.net,2026-01-15,PREMIUM,EAST
C0182,Anita Richard,george97@example.net,2024-03-04,VIP,SOUTH
C0183,Eric Morgan,ryanmorales@example.org,2024-07-14,REGULAR,SOUTH
C0184,Jordan Bullock,kimberly18@example.net,2025-01-17,VIP,CENTRAL
C0185,Craig Morrison,michael23@example.org,2026-06-09,VIP,EAST
C0186,Justin Riley,thompsonkendra@example.com,2024-08-01,PREMIUM,SOUTH
C0187,Jeremy Turner,michelle52@example.com,2025-03-11,REGULAR,CENTRAL
C0188,Jesse Brown,brittany58@example.org,2023-10-02,REGULAR,CENTRAL
C0189,Julie Spencer,chase19@example.net,2024-03-15,VIP,WEST
C0190,Larry Mason,colelisa@example.net,2023-07-26,VIP,EAST
C0191,Mrs. Maria Williams,hayeslisa@example.com,2025-12-19,PREMIUM,SOUTH
C0192,Helen Hardin,hritter@example.net,2024-11-29,PREMIUM,NORTH
C0193,Rachel Holland,vortiz@example.net,2025-09-28,PREMIUM,NORTH
C0194,Nathaniel Douglas,riveraangela@example.com,2023-10-18,REGULAR,SOUTH
C0195,Emily Douglas,mathewaguilar@example.org,2025-03-14,REGULAR,SOUTH
C0196,James Conner,tanderson@example.org,2025-10-30,VIP,CENTRAL
C0197,Susan Davis DDS,elizabethcalderon@example.net,2024-10-05,VIP,WEST
C0198,Ralph Lee,andrew42@example.org,2025-12-23,PREMIUM,CENTRAL
C0199,Kimberly Rodgers,ericphillips@example.org,2025-03-17,VIP,CENTRAL
C0200,James Martin,stanleynancy@example.net,2024-01-20,REGULAR,SOUTH
C0201,Cynthia Wallace,jenniferwilliams@example.com,2023-12-14,REGULAR,SOUTH
C0202,Vincent Mueller,karen73@example.net,2023-12-01,REGULAR,NORTH
C0203,Douglas Reyes,michealvalentine@example.com,2026-02-17,PREMIUM,NORTH
C0204,David Davidson,mburch@example.net,2025-01-30,VIP,WEST
C0205,Phillip Nelson,angela18@example.org,2024-10-21,PREMIUM,CENTRAL
C0206,Stacey Arias,mariahdavis@example.org,2024-08-09,PREMIUM,NORTH
C0207,Zachary Brooks,gbrown@example.com,2024-05-01,PREMIUM,SOUTH
C0208,Raven Taylor,florescory@example.net,2024-06-04,PREMIUM,CENTRAL
C0209,Luis Bullock,samantha72@example.net,2025-02-11,PREMIUM,NORTH
C0210,Lisa Henderson,scottmary@example.net,2025-03-14,VIP,WEST
C0211,Riley Bryant,john10@example.org,2026-04-20,VIP,WEST
C0212,Jose Allen,copelandvincent@example.net,2023-09-20,PREMIUM,EAST
C0213,Jason Beck,kellysmith@example.com,2023-08-22,REGULAR,SOUTH
C0214,Rachel Romero,millsmichael@example.net,2023-08-12,VIP,EAST
C0215,James Burgess,myerstheodore@example.net,2024-06-23,PREMIUM,CENTRAL
C0216,Ashley Perkins,kristina53@example.net,2025-01-20,REGULAR,CENTRAL
C0217,Carrie Maxwell,dennis58@example.com,2026-04-03,REGULAR,WEST
C0218,Chad Baldwin,epollard@example.net,2025-05-13,PREMIUM,NORTH
C0219,Stacey Stewart,mjohnson@example.org,2025-05-06,PREMIUM,WEST
C0220,Matthew Mitchell,zachary87@example.com,2025-09-28,VIP,NORTH
C0221,Jessica Ross,glennmartin@example.org,2025-04-05,PREMIUM,EAST
C0222,Kathleen Jimenez,ykline@example.com,2025-10-05,VIP,NORTH
C0223,Samantha Gardner,laurie61@example.com,2026-02-01,PREMIUM,NORTH
C0224,Mitchell Jackson,curtis54@example.com,2025-07-10,VIP,WEST
C0225,Heather Bolton,cbell@example.net,2023-10-14,REGULAR,EAST
C0226,Heidi Owen,danielle01@example.net,2025-02-09,PREMIUM,WEST
C0227,Jessica Martinez,stephaniethomas@example.net,2024-11-02,VIP,SOUTH
C0228,Amanda Hernandez,kimberlydiaz@example.com,2023-07-29,VIP,WEST
C0229,Laura Moreno,xrush@example.com,2024-02-18,PREMIUM,NORTH
C0230,Allison Lopez,redwards@example.org,2024-05-11,PREMIUM,EAST
C0231,Michele Lewis,hmcintyre@example.com,2025-01-10,PREMIUM,WEST
C0232,Benjamin Thompson,heather73@example.org,2024-11-11,PREMIUM,CENTRAL
C0233,Victoria Contreras,zosborn@example.net,2024-07-25,VIP,CENTRAL
C0234,Michelle Ho,piercekelly@example.com,2024-04-05,REGULAR,EAST
C0235,Dr. Cynthia Snyder,laurahicks@example.org,2025-10-27,PREMIUM,CENTRAL
C0236,Stephen Jones,angela57@example.net,2023-07-06,PREMIUM,EAST
C0237,Patricia Morrow,ukey@example.com,2026-03-29,REGULAR,WEST
C0238,Michael Cooper,martinezlogan@example.org,2025-06-06,PREMIUM,CENTRAL
C0239,Amy Martinez,katrinaanderson@example.net,2025-08-11,PREMIUM,EAST
C0240,Travis Stone,kevinmartin@example.net,2024-11-01,VIP,WEST
C0241,Denise Weber,meghan43@example.net,2025-10-19,REGULAR,EAST
C0242,Matthew Le,shawgary@example.net,2025-08-19,PREMIUM,SOUTH
C0243,Travis Wise,megan90@example.org,2023-09-14,REGULAR,CENTRAL
C0244,Kathleen Burton,debra96@example.net,2025-05-10,REGULAR,WEST
C0245,Melinda Evans,dawn47@example.org,2026-01-21,REGULAR,SOUTH
C0246,Mr. Lawrence Edwards,barkereric@example.com,2024-05-12,REGULAR,WEST
C0247,Kayla Rodriguez,jessica56@example.org,2024-12-24,PREMIUM,CENTRAL
C0248,Anthony Dougherty,stevenadams@example.org,2023-12-12,PREMIUM,CENTRAL
C0249,Michelle Lee,kwright@example.com,2025-04-09,VIP,WEST
C0250,Kathleen Davis,tyronerobertson@example.com,2023-09-12,VIP,NORTH
C0251,Amber Campbell,pwagner@example.org,2025-02-08,REGULAR,NORTH
C0252,Stephen Luna,amitchell@example.org,2024-01-18,VIP,NORTH
C0253,Chloe Tran,zdiaz@example.org,2025-03-05,REGULAR,NORTH
C0254,William Becker,hughesshannon@example.net,2023-10-23,PREMIUM,EAST
C0255,Gina Mcmillan,andersoncolin@example.com,2024-04-24,REGULAR,CENTRAL
C0256,Andrew Reeves,jameshicks@example.net,2024-07-03,REGULAR,SOUTH
C0257,Brenda Velazquez,jstone@example.net,2025-08-22,VIP,SOUTH
C0258,Ronald Patel,francisco94@example.net,2024-04-19,REGULAR,WEST
C0259,Veronica Silva,thomas05@example.com,2026-01-27,PREMIUM,NORTH
C0260,Paula Lane,carlsonjoseph@example.net,2026-02-07,PREMIUM,CENTRAL
C0261,Patricia James,silvageorge@example.net,2025-12-21,PREMIUM,CENTRAL
C0262,Jeremy Barnes,anthonyvaughan@example.org,2025-11-15,VIP,EAST
C0263,Tami Salas,avaughn@example.net,2025-03-10,REGULAR,WEST
C0264,Matthew Fox,thorntonapril@example.net,2024-02-04,REGULAR,WEST
C0265,Megan Dillon,sue78@example.com,2025-02-25,VIP,EAST
C0266,Courtney Dudley,chelsea33@example.com,2025-09-18,PREMIUM,NORTH
C0267,Justin Michael,kellie37@example.com,2023-10-09,VIP,WEST
C0268,Jennifer Reed,keith98@example.com,2025-02-06,REGULAR,CENTRAL
C0269,Thomas Douglas,kellyroberts@example.net,2024-09-21,VIP,SOUTH
C0270,Melissa Taylor,ilewis@example.com,2024-04-06,VIP,NORTH
C0271,David Garcia,johnsantiago@example.net,2023-09-19,PREMIUM,WEST
C0272,Vanessa Moore,jennifer12@example.org,2025-07-17,VIP,SOUTH
C0273,Matthew Velez,mwoods@example.com,2025-02-24,PREMIUM,WEST
C0274,Taylor Gentry,pearsonjesse@example.net,2024-03-27,VIP,EAST
C0275,Jennifer Simpson DVM,robertmonroe@example.org,2025-01-09,REGULAR,EAST
C0276,Tanya Rogers,nancy04@example.net,2026-03-13,PREMIUM,EAST
C0277,Todd Rosales MD,ihays@example.net,2026-02-14,REGULAR,SOUTH
C0278,David Lopez,lisarivera@example.net,2024-10-05,VIP,WEST
C0279,Margaret Sullivan,krystal93@example.org,2025-07-19,REGULAR,WEST
C0280,Cathy Taylor,frobertsonexample.com,2024-03-10,PREMIUM,EAST
C0281,Paul Finley,shari04@example.com,2024-12-18,VIP,WEST
C0282,Melissa Brown,brandi90@example.com,2025-07-30,REGULAR,SOUTH
C0283,Stephanie Padilla,marshallerik@example.net,2025-05-02,VIP,SOUTH
C0284,Tyler Mendoza,hannah45@example.net,2026-02-05,VIP,EAST
C0285,Joshua Ruiz,madkins@example.com,2024-02-24,REGULAR,NORTH
C0286,Angela Griffin,kathleenbecker@example.net,2025-03-15,PREMIUM,NORTH
C0287,Stephanie Harris,christian91@example.org,2024-04-03,PREMIUM,WEST
C0288,Daniel Aguilar,franklinbond@example.com,2025-11-05,VIP,SOUTH
C0289,Jose Bryant,nolansean@example.org,2024-01-19,PREMIUM,CENTRAL
C0290,Jennifer Velasquez,hansenemily@example.com,2025-01-23,REGULAR,EAST
C0291,Kimberly Brown,bethwilliams@example.com,2025-12-27,REGULAR,EAST
C0292,Randy Cannon,andersenthomas@example.com,2025-07-22,VIP,EAST
C0293,Susan Bennett,ybrooks@example.com,2025-01-16,REGULAR,NORTH
C0294,Jenna Anderson DVM,desireebailey@example.org,2026-01-17,REGULAR,SOUTH
C0295,Kimberly Patel,avilatiffany@example.com,2023-08-13,REGULAR,EAST
C0296,Shaun Cannon,johnreed@example.com,2024-03-14,VIP,SOUTH
C0297,Austin Wheeler,pachecorobert@example.org,2024-08-28,VIP,SOUTH
C0298,Andrew Gonzales,tharper@example.org,2024-10-20,PREMIUM,SOUTH
C0299,Donna Cabrera,karenparsons@example.org,2023-07-06,PREMIUM,SOUTH
C0300,Victoria Boyd,barbara53@example.com,2024-11-25,REGULAR,NORTH
C0301,Sheryl Buck,dturner@example.net,2023-08-22,REGULAR,NORTH
C0302,Megan Floyd,dpeters@example.com,2024-10-30,VIP,EAST
C0303,Paul Wells,heather62example.com,2024-12-25,REGULAR,SOUTH
C0304,Kristina Faulkner,kevinzimmerman@example.com,2026-06-12,REGULAR,NORTH
C0305,Tammy Boone,paulscott@example.com,2025-07-11,VIP,CENTRAL
C0306,Michael Morrison,nicholsmaria@example.org,2026-04-27,REGULAR,CENTRAL
C0307,Claire Clark,lopezkathleen@example.net,2026-06-02,PREMIUM,WEST
C0308,Autumn Key,kevin03@example.org,2023-09-02,REGULAR,WEST
C0309,Jennifer Allen,srocha@example.net,2025-11-20,VIP,NORTH
C0310,Elizabeth Ward,kimberly67@example.net,2025-12-25,REGULAR,NORTH
C0311,Ryan Rocha,zowens@example.net,2024-04-29,REGULAR,SOUTH
C0312,Alexis Tran,lawrence09@example.org,2025-04-26,PREMIUM,CENTRAL
C0313,Kelly Sanchez,mphillips@example.com,2026-01-15,VIP,CENTRAL
C0314,Robert Jackson,jonathan77@example.com,2024-02-20,VIP,CENTRAL
C0315,Kelly Combs,iwhite@example.net,2024-09-13,PREMIUM,WEST
C0316,Ryan Hall,landryelizabeth@example.org,2025-10-25,PREMIUM,WEST
C0317,Mark Peck,albertwagner@example.com,2024-01-11,PREMIUM,WEST
C0318,Jennifer Smith,bhopkins@example.org,2024-12-04,PREMIUM,SOUTH
C0319,Megan Drake,amanda40@example.net,2026-02-26,REGULAR,NORTH
C0320,Manuel King,danieldavis@example.org,2024-01-07,PREMIUM,NORTH
C0321,Judy Sanchez,joseph61@example.com,2025-08-02,REGULAR,CENTRAL
C0322,Shannon Malone,kevinclayton@example.org,2025-05-06,VIP,NORTH
C0323,Adam Jackson,sullivannicholas@example.com,2025-11-13,VIP,NORTH
C0324,Shannon Davis,pbruce@example.com,2025-03-31,PREMIUM,NORTH
C0325,Karen Williams,hallrachel@example.net,2024-09-08,REGULAR,WEST
C0326,Amanda Mcfarland,cohenjuan@example.net,2024-02-07,PREMIUM,CENTRAL
C0327,Michelle Sanders,alexis39@example.org,2025-01-21,VIP,SOUTH
C0328,Jasmine Mosley,evansanne@example.net,2023-08-23,VIP,EAST
C0329,Haley Davis,patrick21@example.net,2025-01-10,VIP,EAST
C0330,Jennifer Ayala,marypeterson@example.net,2025-06-18,REGULAR,SOUTH
C0331,Henry Pugh MD,walterskristen@example.com,2025-09-28,REGULAR,SOUTH
C0332,Michelle Miller,nmiller@example.com,2023-09-01,REGULAR,CENTRAL
C0333,Emily Rodriguez,normanbowers@example.org,2025-11-06,PREMIUM,EAST
C0334,Brandon Jordan,hahnsean@example.com,2025-03-30,VIP,EAST
C0335,Linda Mueller,fgarcia@example.com,2023-12-21,REGULAR,SOUTH
C0336,Misty Hansen,asmith@example.com,2023-10-10,VIP,NORTH
C0337,Derrick Adams,ashleyjackson@example.com,2025-11-15,PREMIUM,CENTRAL
C0338,Richard Ward,bryanhamilton@example.com,2025-01-10,REGULAR,CENTRAL
C0339,Brian Torres,jennifersimpson@example.net,2025-11-27,REGULAR,EAST
C0340,Erin Cook,ncook@example.com,2026-03-23,VIP,EAST
C0341,Ernest Oconnell,kevinmorrison@example.net,2025-09-17,VIP,NORTH
C0342,Douglas Hartman,kelly79example.org,2025-03-09,REGULAR,SOUTH
C0343,Catherine Saunders MD,daniel93@example.net,2025-02-12,PREMIUM,NORTH
C0344,Sandra Jones,nhahnexample.com,2025-11-28,REGULAR,SOUTH
C0345,David Moore,ichambers@example.net,2024-10-14,VIP,CENTRAL
C0346,Karen Morales DDS,emccormick@example.com,2025-06-25,REGULAR,WEST
C0347,Robin Wheeler,ystephens@example.com,2023-09-25,PREMIUM,NORTH
C0348,Matthew Williams,rodriguezjohn@example.net,2023-12-07,PREMIUM,CENTRAL
