payment_id,order_id,amount,payment_date,payment_status,card_number
PAY0002484,ORD0002484,61871.43,2026-07-01,Refunded,************4948
PAY0002490,ORD0002490,15627.44,2024-11-27,Failed,************5729
PAY0002503,ORD0002503,9668.45,2025-06-26,Refunded,************6684
PAY0002505,ORD0002505,61150.2,2026-02-13,Refunded,************7418
PAY0002512,ORD0002512,13223.15,2025-04-20,Refunded,************8309
PAY0002521,ORD0002521,25851.4,2025-01-16,Refunded,************2885
PAY0002524,ORD0002524,47305.14,2025-12-10,Failed,************7032
PAY0002549,ORD0002549,76588.84,2025-02-19,Refunded,************1487
PAY0002557,ORD0002557,3837.92,2025-09-11,Success,************4894
PAY0002561,ORD0002561,121013.05,2025-11-06,Success,************9819
PAY0002585,ORD0002585,6040.7,2025-02-24,Success,************8420
PAY0002614,ORD0002614,22852.24,2025-12-19,Refunded,************3955
PAY0002625,ORD0002625,7315.92,2025-10-04,Success,************0876
PAY0001778,ORD0001778,10365.28,2026-06-29,Success,************6091
PAY0001805,ORD0001805,16145.14,2025-08-22,Success,************9272
PAY0001811,ORD0001811,23363.58,2026-07-13,Refunded,************2057
PAY0001825,ORD0001825,29025.06,2025-03-09,Success,************3091
PAY0001830,ORD0001830,76888.08,2025-02-21,Refunded,************6261
PAY0001835,ORD0001835,93331.16,2025-03-08,Success,************1793
PAY0001866,ORD0001866,25968.61,2026-02-14,Failed,************4937
PAY0001893,ORD0001893,44535.81,2025-03-31,Success,************7305
PAY0001896,ORD0001896,52809.21,2025-12-17,Failed,************0018
PAY0001912,ORD0001912,6796.5,2025-10-30,Refunded,************2078
PAY0001938,ORD0001938,77403.08,2025-03-02,Refunded,************5725
PAY0001963,ORD0001963,19581.41,2026-04-25,Failed,************0513
PAY0001974,ORD0001974,31471.9,2026-04-14,Failed,************6843
PAY0001979,ORD0001979,7731.99,2026-04-02,Success,************5502
PAY0002022,ORD0002022,113719.3,2026-02-13,Failed,************3669
PAY0002092,ORD0002092,11926.86,2026-04-04,Failed,************3983
PAY0002095,ORD0002095,2550.51,2024-09-08,Failed,************3990
PAY0002100,ORD0002100,42875.7,2024-10-10,Refunded,************1077
PAY0002114,ORD0002114,35045.37,2025-10-17,Refunded,************7852
PAY0002126,ORD0002126,30679.92,2026-02-24,Refunded,************3533
PAY0002135,ORD0002135,12123.32,2025-11-15,Refunded,************2658
PAY0002165,ORD0002165,79218.48,2024-09-02,Refunded,************1431
PAY0002167,ORD0002167,55708.68,2026-04-06,Refunded,************2800
PAY0002169,ORD0002169,22953.6,2025-02-01,Success,************2265
PAY0002202,ORD0002202,7773.96,2025-07-02,Success,************0928
PAY0002206,ORD0002206,461.96,2025-05-19,Refunded,************2397
PAY0002225,ORD0002225,68239.5,2026-03-01,Failed,************2503
PAY0002230,ORD0002230,13735.84,2024-08-22,Success,************1760
PAY0002232,ORD0002232,34529.4,2026-06-12,Refunded,************2616
PAY0002345,ORD0002345,32075.67,2024-07-30,Refunded,************5931
PAY0002346,ORD0002346,71652.12,2025-05-02,Success,************1459
PAY0002381,ORD0002381,74607.69,2024-08-05,Success,************1184
PAY0002385,ORD0002385,8540.52,2025-06-13,Success,************6580
PAY0002390,ORD0002390,137062.35,2025-04-29,Success,************7104
PAY0002405,ORD0002405,27129.75,2026-01-08,Refunded,************8762
PAY0002408,ORD0002408,56575.44,2024-09-15,Failed,************6176
PAY0002420,ORD0002420,17649.86,2025-10-19,Success,************9405
PAY0002446,ORD0002446,41926.98,2026-06-16,Failed,************9302
PAY0002453,ORD0002453,105094.3,2025-11-16,Refunded,************2576
PAY0002461,ORD0002461,18474.1,2026-05-05,Success,************6094
PAY0002480,ORD0002480,47757.68,2025-11-07,Success,************1465
PAY0002486,ORD0002486,49648.0,2025-10-25,Success,************5837
PAY0002489,ORD0002489,33221.12,2025-04-19,Success,************0937
PAY0002514,ORD0002514,36468.9,2025-06-29,Refunded,************7340
PAY0002519,ORD0002519,63265.44,2024-11-29,Failed,************3828
PAY0002525,ORD0002525,41374.8,2024-09-25,Refunded,************5295
PAY0002532,ORD0002532,11358.69,2026-03-08,Success,************7273
PAY0002537,ORD0002537,48586.24,2026-01-11,Success,************6197
PAY0002538,ORD0002538,78587.48,2024-10-25,Success,************8242
PAY0002576,ORD0002576,77314.05,2024-08-31,Failed,************9498
PAY0002595,ORD0002595,48586.24,2026-05-08,Success,************6895
PAY0002611,ORD0002611,27862.37,2024-12-09,Success,************1285
PAY0002612,ORD0002612,6040.7,2024-12-04,Refunded,************8155
PAY0002619,ORD0002619,56995.48,2025-05-06,Failed,************9075
PAY0001756,ORD0001756,17085.4,2025-07-19,Refunded,************1969
PAY0001766,ORD0001766,18416.5,2024-11-28,Failed,************8449
PAY0001768,ORD0001768,85454.24,2024-12-22,Failed,************9697
PAY0001787,ORD0001787,36774.32,2025-02-18,Failed,************1108
PAY0001793,ORD0001793,25393.58,2024-07-27,Refunded,************5058
PAY0001832,ORD0001832,54824.94,2024-09-13,Refunded,************4030
PAY0001852,ORD0001852,2023.6,2024-12-05,Success,************5747
PAY0001875,ORD0001875,145924.7,2024-11-14,Failed,************2792
PAY0001876,ORD0001876,4870.65,2025-04-10,Success,************9585
PAY0001884,ORD0001884,92847.8,2025-10-15,Success,************6675
PAY0001887,ORD0001887,139311.85,2026-05-14,Refunded,************3540
PAY0001924,ORD0001924,35206.14,2025-03-08,Success,************5628
PAY0001947,ORD0001947,29025.06,2025-04-02,Refunded,************6449
PAY0001950,ORD0001950,22735.4,2024-12-05,Refunded,************1927
PAY0001970,ORD0001970,14431.04,2026-01-28,Refunded,************7161
PAY0002006,ORD0002006,85163.73,2025-10-03,Refunded,************7878
PAY0002057,ORD0002057,10486.69,2026-03-14,Refunded,************5467
PAY0002072,ORD0002072,60680.15,2025-08-22,Success,************2720
PAY0002093,ORD0002093,124346.15,2026-06-11,Failed,************5587
PAY0002112,ORD0002112,18474.1,2024-10-19,Failed,************7384
PAY0002136,ORD0002136,47307.48,2026-04-18,Refunded,************7206
PAY0002188,ORD0002188,60781.5,2025-04-30,Success,************6535
PAY0002190,ORD0002190,11946.8,2024-09-27,Success,************3845
PAY0002191,ORD0002191,3229.0,2026-01-29,Failed,************5335
PAY0002229,ORD0002229,9614.64,2026-02-27,Failed,************0872
PAY0002251,ORD0002251,1971.42,2026-02-18,Refunded,************1707
PAY0002262,ORD0002262,56775.82,2024-09-11,Success,************0289
PAY0002267,ORD0002267,72330.69,2025-11-19,Success,************6038
PAY0002304,ORD0002304,25425.13,2025-09-16,Refunded,************5229
PAY0002313,ORD0002313,14930.76,2025-10-03,Failed,************3017
PAY0002328,ORD0002328,5297.14,2026-05-26,Failed,************8737
PAY0002338,ORD0002338,70412.28,2024-08-10,Refunded,************8665
PAY0002339,ORD0002339,58393.66,2026-03-28,Refunded,************3163
PAY0002349,ORD0002349,80720.5,2025-10-10,Failed,************4330
PAY0002367,ORD0002367,4278.34,2024-10-20,Failed,************8466
PAY0002373,ORD0002373,57418.64,2024-08-08,Refunded,************1995
PAY0002378,ORD0002378,21848.05,2026-02-19,Refunded,************5606
PAY0002380,ORD0002380,141939.55,2026-02-03,Failed,************8165
PAY0002401,ORD0002401,27644.6,2024-07-19,Failed,************1742
PAY0002410,ORD0002410,6192.44,2025-10-13,Success,************5638
PAY0002415,ORD0002415,15438.52,2026-07-08,Success,************6517
PAY0002424,ORD0002424,41681.56,2026-05-31,Success,************6041
PAY0002431,ORD0002431,138223.0,2026-02-04,Success,************5839
PAY0002437,ORD0002437,25889.16,2025-10-05,Refunded,************4458
PAY0002479,ORD0002479,8706.1,2026-02-04,Failed,************1047
PAY0002481,ORD0002481,26446.3,2025-05-27,Failed,************0944
PAY0002482,ORD0002482,63073.52,2026-03-01,Refunded,************0277
PAY0002494,ORD0002494,83587.11,2025-01-01,Failed,************3513
PAY0002527,ORD0002527,1700.34,2025-01-06,Refunded,************7392
PAY0002529,ORD0002529,18771.52,2025-10-26,Failed,************1527
PAY0002535,ORD0002535,3563.06,2025-07-17,Refunded,************6992
PAY0002543,ORD0002543,38784.9,2025-03-16,Failed,************4825
PAY0002546,ORD0002546,13972.15,2024-12-09,Refunded,************2462
PAY0002547,ORD0002547,18818.64,2026-04-11,Success,************5030
PAY0002569,ORD0002569,26485.7,2025-11-16,Failed,************0631
PAY0002575,ORD0002575,22657.84,2024-11-13,Refunded,************6724
PAY0002586,ORD0002586,62240.13,2025-07-20,Success,************6085
PAY0002596,ORD0002596,12146.56,2026-01-12,Success,************5165
PAY0002601,ORD0002601,47253.0,2025-07-19,Success,************6373
PAY0002607,ORD0002607,104423.35,2025-09-08,Failed,************5598
PAY0002608,ORD0002608,10080.21,2025-08-19,Success,************6117
PAY0002616,ORD0002616,24922.3,2025-01-18,Refunded,************0802
PAY0001763,ORD0001763,29623.59,2025-12-15,Success,************5056
PAY0001796,ORD0001796,83017.2,2025-11-19,Refunded,************8804
PAY0001802,ORD0001802,1850.52,2024-12-09,Failed,************1955
PAY0001820,ORD0001820,31207.04,2026-02-04,Refunded,************9130
PAY0001823,ORD0001823,78849.65,2025-05-28,Failed,************5024
PAY0001827,ORD0001827,19853.05,2025-03-31,Refunded,************4847
PAY0001870,ORD0001870,13221.55,2025-06-26,Success,************7381
PAY0001881,ORD0001881,76353.08,2025-08-16,Failed,************5601
PAY0001888,ORD0001888,74777.65,2026-07-16,Failed,************6413
PAY0001908,ORD0001908,24563.0,2025-12-05,Success,************3667
PAY0001913,ORD0001913,86200.28,2025-08-05,Failed,************2676
PAY0001939,ORD0001939,8701.66,2026-07-14,Failed,************5685
PAY0001958,ORD0001958,74686.65,2024-11-07,Success,************8941
PAY0001962,ORD0001962,9874.53,2024-08-15,Failed,************4802
PAY0002038,ORD0002038,4935.28,2024-12-09,Refunded,************0735
PAY0002044,ORD0002044,108958.96,2024-08-26,Failed,************9731
PAY0002062,ORD0002062,31539.86,2025-09-17,Refunded,************8316
PAY0002069,ORD0002069,12310.05,2024-12-19,Failed,************3272
PAY0002140,ORD0002140,26855.71,2025-03-13,Refunded,************6413
PAY0002199,ORD0002199,81533.6,2026-04-14,Refunded,************5536
PAY0002218,ORD0002218,41307.93,2026-01-03,Refunded,************9426
PAY0002219,ORD0002219,21550.07,2025-11-23,Refunded,************4271
PAY0002248,ORD0002248,136660.2,2024-09-25,Success,************5453
PAY0002259,ORD0002259,34319.54,2025-08-23,Failed,************9130
PAY0002268,ORD0002268,74278.24,2024-08-22,Failed,************9345
PAY0002270,ORD0002270,97907.05,2024-09-09,Refunded,************9241
PAY0002286,ORD0002286,49791.1,2025-02-26,Failed,************0294
PAY0002287,ORD0002287,66049.38,2026-01-25,Failed,************6157
PAY0002293,ORD0002293,13550.36,2025-11-24,Success,************9397
PAY0002295,ORD0002295,14512.53,2026-02-20,Success,************5594
PAY0002306,ORD0002306,77536.08,2025-10-15,Refunded,************6921
PAY0002325,ORD0002325,59738.0,2024-08-10,Refunded,************7365
PAY0002335,ORD0002335,1781.53,2025-04-02,Success,************8621
PAY0002368,ORD0002368,18474.1,2025-02-16,Success,************9493
PAY0002369,ORD0002369,95800.9,2026-04-25,Success,************3861
PAY0002370,ORD0002370,116739.76,2026-05-24,Refunded,************1011
PAY0002379,ORD0002379,93351.8,2024-08-04,Failed,************6572
PAY0002389,ORD0002389,5878.8,2025-04-28,Success,************9681
PAY0002396,ORD0002396,12460.86,2025-11-16,Success,************8915
PAY0002433,ORD0002433,20929.14,2025-08-11,Refunded,************0397
PAY0002438,ORD0002438,1700.34,2025-07-20,Failed,************1335
PAY0002440,ORD0002440,4644.33,2025-10-02,Success,************8158
PAY0002445,ORD0002445,11084.46,2025-10-20,Success,************6834
PAY0002473,ORD0002473,55077.24,2024-08-23,Refunded,************9501
PAY0002588,ORD0002588,102820.92,2024-10-21,Failed,************1315
PAY0002594,ORD0002594,24895.55,2026-05-30,Failed,************8543
PAY0002613,ORD0002613,12460.86,2025-06-21,Success,************8198
PAY0001752,ORD0001752,149250.0,2024-09-09,Failed,************7389
PAY0001755,ORD0001755,124346.15,2026-06-28,Refunded,************0429
PAY0001773,ORD0001773,40613.26,2024-12-20,Refunded,************7999
PAY0001777,ORD0001777,5120.49,2025-12-30,Refunded,************5513
PAY0001790,ORD0001790,37052.64,2025-07-29,Refunded,************7417
PAY0001792,ORD0001792,41947.46,2026-03-17,Failed,************1226
PAY0001810,ORD0001810,52294.48,2024-08-18,Refunded,************1162
PAY0001829,ORD0001829,1700.34,2025-03-08,Failed,************8145
PAY0001838,ORD0001838,89187.05,2024-07-20,Success,************6796
PAY0001844,ORD0001844,107750.35,2025-06-26,Failed,************7960
PAY0001846,ORD0001846,18634.95,2024-09-09,Success,************8011
PAY0001871,ORD0001871,19741.12,2025-01-03,Failed,************7431
PAY0001878,ORD0001878,57594.4,2025-12-25,Refunded,************3855
PAY0001886,ORD0001886,12136.03,2025-08-15,Failed,************7031
PAY0001915,ORD0001915,48586.24,2025-04-14,Refunded,************8126
PAY0001935,ORD0001935,16592.8,2024-07-25,Refunded,************3680
PAY0001948,ORD0001948,113556.05,2026-04-07,Success,************4586
PAY0001953,ORD0001953,71459.5,2025-04-10,Success,************2163
PAY0001960,ORD0001960,11084.46,2025-12-10,Success,************0021
PAY0001961,ORD0001961,44156.54,2026-05-19,Failed,************8558
PAY0001975,ORD0001975,20967.16,2026-03-16,Refunded,************4107
PAY0001982,ORD0001982,24772.29,2025-03-31,Refunded,************1580
PAY0001988,ORD0001988,49738.46,2025-11-13,Refunded,************3903
PAY0002014,ORD0002014,78841.9,2025-08-08,Success,************1712
PAY0002015,ORD0002015,86656.1,2025-11-23,Refunded,************4490
PAY0002016,ORD0002016,2240.34,2024-07-27,Success,************8255
PAY0002017,ORD0002017,75254.25,2025-07-14,Refunded,************5568
PAY0002018,ORD0002018,46578.68,2025-11-05,Success,************9202
PAY0002034,ORD0002034,42037.72,2025-02-25,Refunded,************8018
PAY0002042,ORD0002042,14805.84,2025-07-05,Success,************9650
PAY0002051,ORD0002051,88065.84,2025-06-24,Refunded,************4750
PAY0002055,ORD0002055,37052.64,2025-04-16,Success,************0171
PAY0002058,ORD0002058,17603.07,2026-05-24,Success,************0456
PAY0002067,ORD0002067,19657.92,2024-07-19,Refunded,************2419
PAY0002077,ORD0002077,83052.8,2025-06-27,Failed,************7531
PAY0002091,ORD0002091,18673.08,2026-06-27,Success,************8314
PAY0002097,ORD0002097,71244.35,2026-01-10,Failed,************5703
PAY0002098,ORD0002098,27596.2,2026-05-29,Success,************2712
PAY0002105,ORD0002105,15103.12,2025-05-01,Refunded,************3297
PAY0002106,ORD0002106,23639.75,2026-05-08,Failed,************2796
PAY0002111,ORD0002111,6775.18,2025-10-21,Refunded,************9274
PAY0002133,ORD0002133,8257.43,2026-04-29,Refunded,************4362
PAY0002182,ORD0002182,91171.88,2025-03-14,Failed,************1030
PAY0002210,ORD0002210,86514.52,2026-03-22,Success,************6635
PAY0002216,ORD0002216,8325.99,2025-12-23,Failed,************0192
PAY0002252,ORD0002252,22078.27,2024-09-23,Failed,************6735
PAY0002258,ORD0002258,1847.84,2026-05-25,Failed,************4236
PAY0002265,ORD0002265,30927.96,2026-06-10,Success,************9655
PAY0002288,ORD0002288,60328.02,2025-02-28,Refunded,************0420
PAY0002301,ORD0002301,8206.7,2026-06-12,Refunded,************1154
PAY0002308,ORD0002308,47894.8,2025-11-17,Success,************1040
PAY0002361,ORD0002361,109426.75,2025-07-31,Failed,************4413
PAY0002375,ORD0002375,86391.6,2025-09-12,Success,************2300
PAY0002398,ORD0002398,22078.27,2026-04-19,Success,************7546
PAY0002400,ORD0002400,3982.77,2025-11-16,Refunded,************2727
PAY0002407,ORD0002407,56314.56,2025-07-08,Failed,************7161
PAY0002409,ORD0002409,81996.12,2025-05-05,Refunded,************3512
PAY0002423,ORD0002423,14631.84,2026-05-08,Success,************3331
PAY0002425,ORD0002425,12146.56,2024-07-24,Refunded,************2545
PAY0002441,ORD0002441,15438.52,2025-01-31,Refunded,************3403
PAY0002491,ORD0002491,77192.6,2025-01-06,Success,************8461
PAY0002508,ORD0002508,62120.96,2026-06-25,Success,************6711
PAY0002526,ORD0002526,23660.04,2025-03-04,Failed,************5247
PAY0002541,ORD0002541,5310.36,2025-03-29,Success,************6415
PAY0002544,ORD0002544,12078.36,2026-03-06,Failed,************6615
PAY0002564,ORD0002564,23895.2,2024-09-02,Failed,************7882
PAY0002572,ORD0002572,66723.4,2025-12-10,Failed,************9178
PAY0002591,ORD0002591,55708.68,2026-02-07,Refunded,************9033
PAY0002610,ORD0002610,8117.75,2025-11-07,Failed,************1518
PAY0001761,ORD0001761,14291.9,2025-06-07,Refunded,************1640
PAY0001774,ORD0001774,850.17,2026-07-12,Success,************0066
PAY0001775,ORD0001775,66528.42,2024-11-21,Success,************6935
PAY0001788,ORD0001788,21550.12,2026-01-09,Success,************3204
PAY0001797,ORD0001797,74472.0,2026-07-03,Failed,************8864
PAY0001836,ORD0001836,13769.31,2025-03-17,Refunded,************0842
PAY0001837,ORD0001837,34760.3,2025-08-14,Refunded,************8322
PAY0001877,ORD0001877,1150.28,2025-08-19,Failed,************0263
PAY0001902,ORD0001902,7126.12,2025-02-03,Refunded,************4696
PAY0001928,ORD0001928,284.1,2026-05-13,Refunded,************3836
PAY0001949,ORD0001949,15530.24,2024-11-03,Success,************8474
PAY0001965,ORD0001965,70412.28,2025-01-25,Failed,************8375
PAY0001976,ORD0001976,21463.63,2025-09-05,Success,************2967
PAY0001981,ORD0001981,1136.32,2025-10-16,Failed,************2182
PAY0001987,ORD0001987,28533.46,2025-01-10,Failed,************2121
PAY0001992,ORD0001992,30925.62,2026-06-17,Failed,************3800
PAY0001993,ORD0001993,20840.78,2024-08-25,Success,************3481
PAY0002000,ORD0002000,2406.91,2024-09-22,Failed,************0786
PAY0002036,ORD0002036,71461.2,2024-08-17,Failed,************7942
PAY0002101,ORD0002101,8104.8,2025-12-25,Refunded,************9787
PAY0002110,ORD0002110,107750.35,2026-03-25,Failed,************0511
PAY0002118,ORD0002118,26742.9,2025-12-19,Refunded,************1698
PAY0002119,ORD0002119,6061.66,2025-08-28,Refunded,************9738
PAY0002134,ORD0002134,3701.04,2026-05-23,Success,************6615
PAY0002137,ORD0002137,18196.44,2026-06-10,Failed,************5674
PAY0002141,ORD0002141,42334.08,2024-09-04,Refunded,************8105
PAY0002151,ORD0002151,134278.55,2025-07-25,Success,************8394
PAY0002153,ORD0002153,17085.4,2025-05-15,Failed,************7574
PAY0002177,ORD0002177,94444.88,2024-07-25,Refunded,************1386
PAY0002203,ORD0002203,21167.04,2026-04-01,Failed,************9723
PAY0002209,ORD0002209,89187.05,2025-10-22,Success,************5216
PAY0002222,ORD0002222,27332.04,2025-08-25,Success,************4878
PAY0002227,ORD0002227,53049.56,2025-04-06,Success,************1791
PAY0002266,ORD0002266,99582.2,2025-12-27,Success,************7299
PAY0002284,ORD0002284,14733.2,2026-05-26,Refunded,************9098
PAY0002285,ORD0002285,8325.99,2024-12-15,Success,************5727
PAY0002290,ORD0002290,11180.97,2024-11-02,Success,************8636
PAY0002298,ORD0002298,1451.12,2025-11-27,Success,************6489
PAY0002300,ORD0002300,8325.99,2025-04-09,Success,************6867
PAY0002314,ORD0002314,7666.26,2026-07-14,Refunded,************2739
PAY0002323,ORD0002323,113964.85,2026-04-08,Refunded,************1950
PAY0002326,ORD0002326,35439.75,2026-04-15,Success,************1695
PAY0002333,ORD0002333,87707.15,2025-02-13,Success,************1698
PAY0002419,ORD0002419,36468.9,2024-11-16,Refunded,************9472
PAY0002426,ORD0002426,104868.65,2026-01-05,Failed,************3861
PAY0002427,ORD0002427,36439.68,2025-08-31,Refunded,************4003
PAY0002430,ORD0002430,24110.23,2024-08-28,Success,************4763
PAY0002432,ORD0002432,20326.0,2024-10-07,Refunded,************8945
PAY0002449,ORD0002449,44335.6,2024-08-02,Success,************8139
PAY0002450,ORD0002450,19504.36,2024-07-23,Success,************2268
PAY0002477,ORD0002477,99023.1,2025-12-22,Success,************2282
PAY0002507,ORD0002507,9336.54,2025-11-27,Success,************2755
PAY0002567,ORD0002567,20306.63,2025-02-15,Failed,************5155
PAY0002573,ORD0002573,10194.75,2024-11-07,Refunded,************1875
PAY0002618,ORD0002618,78441.72,2024-08-28,Refunded,************2692
PAY0002623,ORD0002623,12956.6,2025-09-02,Refunded,************5766
PAY0001760,ORD0001760,7798.27,2024-08-05,Failed,************9422
PAY0001776,ORD0001776,49006.72,2026-04-24,Refunded,************3632
PAY0001780,ORD0001780,90065.96,2025-07-31,Refunded,************7966
PAY0001782,ORD0001782,15332.52,2025-05-13,Refunded,************0654
PAY0001785,ORD0001785,22078.27,2025-12-23,Success,************0118
PAY0001817,ORD0001817,4982.23,2024-11-23,Success,************5107
PAY0001818,ORD0001818,24020.03,2025-02-12,Refunded,************6336
PAY0001861,ORD0001861,23884.04,2024-11-28,Refunded,************5293
PAY0001867,ORD0001867,3833.13,2025-06-01,Refunded,************7866
PAY0001869,ORD0001869,134278.55,2026-02-22,Failed,************1792
PAY0001872,ORD0001872,99666.15,2024-09-08,Refunded,************4158
PAY0001889,ORD0001889,26485.7,2024-09-29,Success,************5288
PAY0001968,ORD0001968,31632.72,2024-12-11,Refunded,************1067
PAY0001972,ORD0001972,94093.2,2024-10-30,Refunded,************5963
PAY0001996,ORD0001996,93588.4,2024-12-14,Failed,************0363
PAY0002004,ORD0002004,45594.09,2024-10-05,Failed,************4198
PAY0002012,ORD0002012,33690.56,2026-05-26,Success,************8981
PAY0002033,ORD0002033,81719.22,2025-09-28,Success,************2794
PAY0002043,ORD0002043,33029.72,2025-04-01,Failed,************4314
PAY0002085,ORD0002085,17318.77,2025-11-18,Refunded,************4112
PAY0002089,ORD0002089,1327.59,2025-02-19,Failed,************0798
PAY0002094,ORD0002094,7886.68,2025-06-06,Success,************4574
PAY0002108,ORD0002108,14930.76,2026-05-20,Failed,************1923
PAY0002147,ORD0002147,89467.64,2026-06-08,Failed,************3690
PAY0002154,ORD0002154,44535.81,2025-05-25,Success,************1765
PAY0002172,ORD0002172,26524.78,2026-06-05,Failed,************1530
PAY0002184,ORD0002184,37709.38,2025-01-07,Failed,************2517
PAY0002211,ORD0002211,50605.04,2026-05-12,Refunded,************8290
PAY0002214,ORD0002214,123901.08,2024-07-24,Refunded,************3546
PAY0002215,ORD0002215,90982.2,2025-11-10,Failed,************2775
PAY0002231,ORD0002231,46665.58,2026-05-15,Success,************6512
PAY0002236,ORD0002236,36439.68,2024-08-28,Failed,************2465
PAY0002238,ORD0002238,6964.88,2025-04-18,Refunded,************7016
PAY0002240,ORD0002240,24312.6,2026-03-02,Failed,************2533
PAY0002241,ORD0002241,15118.98,2024-12-22,Failed,************9057
PAY0002244,ORD0002244,5223.66,2025-01-10,Refunded,************2702
PAY0002255,ORD0002255,22475.6,2025-06-14,Refunded,************4014
PAY0002257,ORD0002257,22176.14,2026-06-19,Success,************3144
PAY0002263,ORD0002263,9043.25,2025-01-02,Refunded,************2507
PAY0002273,ORD0002273,18387.16,2025-03-02,Refunded,************4220
PAY0002302,ORD0002302,44571.5,2026-04-02,Success,************4728
PAY0002337,ORD0002337,36579.6,2025-12-04,Success,************5791
PAY0002392,ORD0002392,61851.24,2025-08-23,Failed,************5426
PAY0002397,ORD0002397,3204.88,2025-12-20,Failed,************1122
PAY0002421,ORD0002421,9092.49,2025-08-30,Success,************9636
PAY0002435,ORD0002435,11757.6,2024-09-25,Success,************8639
PAY0002457,ORD0002457,61754.08,2025-09-23,Failed,************3489
PAY0002469,ORD0002469,12123.32,2025-11-29,Success,************9980
PAY0002504,ORD0002504,128526.15,2024-12-15,Success,************9017
PAY0002515,ORD0002515,13769.31,2025-09-03,Failed,************8727
PAY0002520,ORD0002520,20687.4,2026-06-19,Refunded,************5373
PAY0002542,ORD0002542,122012.65,2024-10-05,Success,************6460
PAY0002568,ORD0002568,13972.15,2025-07-04,Failed,************8556
PAY0002574,ORD0002574,110391.35,2026-06-08,Failed,************0840
PAY0002577,ORD0002577,49372.65,2024-08-07,Success,************0571
PAY0002579,ORD0002579,8296.4,2024-11-19,Success,************1566
PAY0002603,ORD0002603,13772.16,2025-07-14,Success,************8243
PAY0001771,ORD0001771,11177.72,2025-07-21,Success,************0609
PAY0001798,ORD0001798,16557.72,2024-09-20,Failed,************2695
PAY0001804,ORD0001804,68133.63,2024-12-30,Failed,************9598
PAY0001813,ORD0001813,113150.88,2025-10-23,Success,************7000
PAY0001840,ORD0001840,41946.76,2024-11-17,Refunded,************4368
PAY0001853,ORD0001853,68341.6,2025-03-30,Refunded,************3659
PAY0001854,ORD0001854,94409.9,2025-07-24,Refunded,************2715
PAY0001860,ORD0001860,2268.03,2025-01-29,Success,************5407
PAY0001882,ORD0001882,16664.08,2026-06-10,Success,************4097
PAY0001898,ORD0001898,44439.9,2026-04-04,Success,************4511
PAY0001901,ORD0001901,83894.92,2024-08-07,Success,************1101
PAY0001933,ORD0001933,83052.8,2025-08-24,Success,************1376
